ZagreusScratch,ID,ID,ID,,,,Line
"Integrated","ZagreusScratch_","0002","ZagreusScratch_0002b","","","","你可闭嘴吧，老头。"
"Integrated","ZagreusScratch_","0003","ZagreusScratch_0003","","","","等着我，母亲。我马上就来。"
"Integrated","ZagreusScratch_","0004","ZagreusScratch_0004","","","","去死吧这破地方。"
"Integrated","ZagreusScratch_","0005","ZagreusScratch_0005","","","","我要走了。有本事来阻止我。"
"Integrated","ZagreusScratch_","0006","ZagreusScratch_0006","","","","啊哈哈。"
"Integrated","ZagreusScratch_","0007","ZagreusScratch_0007","","","","感谢众神。"
"Integrated","ZagreusScratch_","0008","ZagreusScratch_0008","","","","感谢你，我的女神。你我的力量合二为一…应该会很强"
"Integrated","ZagreusScratch_","0009","ZagreusScratch_0009b","","","","不…！"
"Integrated","ZagreusScratch_","0010","ZagreusScratch_0010b","","","","呃啊啊啊…妈的。"
"Integrated","ZagreusScratch_","0011","ZagreusScratch_0011b","","","","我回来了…"
"Integrated","ZagreusScratch_","0012","ZagreusScratch_0012b","","","","啊，没事，大家别在意，就当我不存在…！"
"Integrated","ZagreusScratch_","0016","ZagreusScratch_0016a","","","","我会记住的，伙计。"
"Integrated","ZagreusScratch_","0020","ZagreusScratch_0020","","","","这里没我事了，我要走了。"
"Integrated","ZagreusScratch_","0021","ZagreusScratch_0021a","","","","嗯，该接着去送死了。"
"Integrated","ZagreusScratch_","0022","ZagreusScratch_0021b","","","","嗯，该接着去送死了。"
"Integrated","ZagreusScratch_","0023","ZagreusScratch_0023","","","","这里没我事了。"
"Integrated","ZagreusScratch_","0024","ZagreusScratch_0024","","","","我要走了。"
"Integrated","ZagreusScratch_","0079","ZagreusScratch_0008ALT","","","","感谢你，我的女神。"
Integrated,Apollo_,0129,Apollo_0129,,,,"将你的命运带到光芒之中！"
Integrated,Apollo_,0130,Apollo_0130,,,,"哆、来、咪！ 调子很准！"
Integrated,Apollo_,0131,Apollo_0131,,,,"你现在进入了最高声部！"
Integrated,Apollo_,0132,Apollo_0132,,,,"再来一节？"
Integrated,Apollo_,0133,Apollo_0133,,,,"最好跟上这节奏！"
Integrated,Apollo_,0134,Apollo_0134,,,,"我是不是听到了有人叫安可？"
Integrated,Apollo_,0135,Apollo_0135,,,,"我永远不会厌倦这音响。"
Integrated,Apollo_,0164,Apollo_0164,,,,"拉、西、哆！你的伤害将增加！"
Integrated,Apollo_,0136,Apollo_0136,,,,"是因为我叫你扎扎的缘故吗？"
Integrated,Apollo_,0137,Apollo_0137,,,,"你的选择……叫人不爽！"
Integrated,Apollo_,0138,Apollo_0138,,,,"那我们就来吧！大步向前！"
Integrated,Apollo_,0139,Apollo_0139,,,,"你是天选之子！"
Integrated,Apollo_,0140,Apollo_0140,,,,"你是我的表兄弟，扎扎。我爱你。"
Integrated,Apollo_,0141,Apollo_0141,,,,"这就是屈服于黑暗之人的下场。"
Integrated,Apollo_,0142,Apollo_0142,,,,"听到了吧？沉默将成为你唯一的乐曲。"
